,full_text
508,Whaaat???? There is literally no where in the Quran or in the prophets teachings that says honour killing is ok…<U+0001F624> https://t.co/F4k1l4xC1l
509,"@23arrolly @bunniii95 @terfyzu 13(almost all) of the counties on that list are Muslim-majority countries.

Almost every incident of honour killing occurs in Muslim-majority countries or European countries by immigrants from Muslim-majority countries.

Did you even read the article?"
510,What honour is there in killing your own daughter!? https://t.co/sooJi4GJEr
511,"@kokosville Your last statement casts doubt on the previous statements in yourself.

You should be the one to educate yourself on the religious demographic of Lebanon.

Honour killing is what you get when you have a horrible combination of purity culture(religion) + family honour (culture) https://t.co/rXKZgH3UWC"
512,@marlycosta20 Anyone Remember this? The so called “Honour Killing “ was glorified in episode 160?? https://t.co/XO2KYOntT3
513,"@23arrolly @terfyzu The reasoning of killing 1 to save many is utilitarian (nothing to do with atheism), but why does this death save lives? Because of their beliefs about ""honour"" and ""purity"". Be it Islam or local culture, it's either way inhumane religious and superstitious bullshit"
514,"RT @Fearless2221: People who convert Hindu girls forcefully, killed Ahmadis in Punjab, 
Sri Lankan citizen were burnt alive, attack GHQ, Me…"
515,@LagrangianSad Honour killing is mena behaviour
516,"@erbmjha It means kassab was innocent and he didn't do anything wrong killing hundreds of Hindus in 26/11 and so was bastard Daud Ibrahim who killed thousands of Hindu in 93 bom blast Mumbai, Can we honour them with Bharat Ratna  ? The way Jawahar Gyasuddin and Rajib Firoz Khan took"
517,"@OmarWaraich @GSpellchecker @adilray Tell you what, you tackle the social normalisation, desensitisation &amp; normalisation of rape, sexual assault and honour killing in pakistan &amp; I will go over there &amp; publicly apologise for any offence caused

Being from pakistan isn't issue it's social constructs effect on morality"
518,"@adilray its not demonization if its true.

many British Pakistanis never grew up in the social ideology of Pakistan or have even visited having created a romanticised version.
sexual assault, rape &amp; honour killing is common place.

social morality not race, islamist not islam"
519,@CricCrazy_1 qandeel ka poort honour killing huwa meinhe drama meen won scene dekha in which she's getting killed and it stayed on my mind for like 4 days
520,"A woman justifying a woman's honour killing and a sensible man defending that poor dead woman.
That's why I don't support all women, some of y'all deserve the torment that you keep alive. https://t.co/Yd2dIOD9Md"
521,@Sargon_of_Akkad nearly all the honour killings we see here and in Europe are pakistani males killing disobedient pakistani girls
522,"@AmitLeliSlayer @prakashraaj @sardesairajdeep They intentionally trap our naive girls under the garb of love, use them &amp; get married to upto 3 other girls, if Hindus object they r intolerant but if it is vice versa, they kill both the boy &amp; girl &amp; that is honour killing."
523,"@Hassan30550837 Hassan, the irony is that sadly, Islam is a religion with hate running through its veins - whether it be honour killing, thrashing, hatred of other religions, non &amp; x Muslims, advocation of hitting your wife (with anything no thicker than your thumb) persecution of gay people…."
524,"RT @newsclickin: A recent research report has revealed that over the last decade, most victims of honour killing were Scheduled Caste men w…"
525,"RT @newsclickin: A recent research report has revealed that over the last decade, most victims of honour killing were Scheduled Caste men w…"
526,"@Alex_Oloyede2 I respect that but you have to respect that others have little feelings about you. If your actions is aggression then expect aggression. If your actions are murdering and killing of innocent people then expect your people will go through the same. God, Honour and Motherland!"
527,@thakur_realist He too is played by everyone else and  justifies his act with the sad n false assumption that he has held his principles and saved the republic from Caesar and ritually killing himself to prevent his honour(when from the start he had none ) both lose things dey stood for d most
528,"Was this an Islamic ""honour"" killing? 60% of Albanians are Muslims.

Italy: Albanian woman murdered by her husband as she asks son for help on phone -- 'Dad wants to kill me' https://t.co/FMEK04iHPX"
529,@RamawatarChou12 @thebharatpur @thekesari <U+0938><U+092C> <U+092A><U+0948><U+0938><U+0947> <U+0914><U+0930> <U+092A><U+094D><U+092F><U+093E><U+0930> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0932><U+0921><U+093C> <U+092E><U+0930><U+0924><U+0947> <U+0939><U+0948><U+0902><U+0964> <U+0915><U+094D><U+092F><U+093E> <U+0928><U+0908> <U+092C><U+093E><U+0924> <U+0939><U+0948> <U+0907><U+0938><U+092E><U+0947><U+0902>? <U+091C><U+093E><U+091F> <U+0916><U+092A> <U+092A><U+0902><U+091A><U+093E><U+092F><U+0924> <U+0924><U+094B> <U+0906><U+091C> <U+092D><U+0940> honour killing <U+0915><U+094B> justify <U+0915><U+0930> <U+091C><U+093E><U+0924><U+0940> <U+0939><U+0948><U+0964> <U+0915><U+0908> <U+091C><U+093E><U+091F> <U+0906><U+092A><U+0938> <U+092E><U+0947><U+0902> <U+0932><U+0921><U+093C> <U+092E><U+0930> <U+0930><U+0939><U+0947> <U+0939><U+0948><U+0902><U+0964> <U+0936><U+093E><U+092F><U+0926> <U+0939><U+093F><U+0928><U+094D><U+0926><U+0942> <U+0915><U+094C><U+092E> <U+0939><U+0940> <U+092C><U+0947><U+0935><U+0942><U+092B><U+093F><U+092F><U+093E><U+0902> <U+0915><U+0930><U+0928><U+0947> <U+092E><U+0947><U+0902> <U+092E><U+0939><U+093E><U+0930><U+0925> <U+0932><U+093F><U+090F> <U+0939><U+0948><U+0964> <U+0936><U+0941><U+0915><U+094D><U+0930><U+093E><U+091A><U+093E><U+0930><U+094D><U+092F> <U+0928><U+0947> <U+0915><U+094D><U+092F><U+093E> <U+0905><U+0938><U+0941><U+0930><U+094B><U+0902> <U+0915><U+0940> <U+0938><U+0947><U+0935><U+093E> <U+0928><U+0939><U+0940><U+0902> <U+0915><U+0940> <U+0925><U+0940> <U+091C><U+092C> <U+0909><U+0938><U+0915><U+093E> <U+092D><U+093E><U+0930><U+0924> <U+092E><U+0947><U+0902> <U+0924><U+093F><U+0930><U+0938><U+094D><U+0915><U+093E><U+0930> <U+0939><U+0941><U+0906>?
530,"RT @AwaisKhanAuthor: 99p Alert: If you haven't read NO HONOUR yet, then you're in luck as the ebook is now for £0.99:
https://t.co/LXGsFr7l…"
531,"RT @newsclickin: A recent research report has revealed that over the last decade, most victims of honour killing were Scheduled Caste men w…"
532,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
533,"RT @iamsunnytawar: <U+091C><U+093F><U+0938> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092E><U+0947><U+0902> ‘honour killing’ <U+0915><U+0947> <U+0928><U+093E><U+092E> <U+092A><U+0930> <U+0907><U+0924><U+0928><U+0940> <U+0939><U+0924><U+094D><U+092F><U+093E><U+090F><U+0901> <U+0939><U+094B><U+0924><U+0940> <U+0939><U+094B><U+0902>, <U+0935><U+0939><U+093E><U+0901> <U+0909><U+092E><U+094D><U+092E><U+0940><U+0926> <U+0939><U+0940> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0940> <U+0938><U+0915><U+0924><U+0940> <U+0939><U+0948>???? #KhapMahapanchayat"
534,"Minor girl, 3 family members arrested for ‘honour killing’ in Moga https://t.co/mNIBv2Kq58"
535,"Minor girl, 3 family members arrested for ‘honour killing’ in Moga https://t.co/K3Ia3p7XWJ"
536,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
537,"Everyday you are killing yourself with good intention. Destroying your system, both physical and mental. Start living your truth and do what is necessary to do so. Honour yourself and your goals."
538,"@AaronCombs7 @TauntonHeat @francesweetman The West doesn't have some of these issues like fgm, honour killing, female infanticide, etc. Because laws are there to prevent it. Hence, girls and women got some protection compared to the rest of the world. But it's not all. There is still more to do."
539,"@Sargon_of_Akkad @adilray @LBC They're very progressive:
https://t.co/IbVEdB5cZP"
540,"@adilray Sadly, it is in Pakistani culture to abuse kiddies. I'm not sure how they treat their own offspring, but I dread the thought. Then, if the daughters won't marry an old man, we have the honour killings. Not sure whose honour they are saving by killing their own?"
541,"@hayya_a @iamthedrifter Pakistani culture promote honour killing, bacchabazi."
542,@adilray @Sargon_of_Akkad @LBC fcuk off https://t.co/zPJ9QMSVZk
543,No one likes to admit that Islam started this culture of “honour killing” https://t.co/uRzR0EwenH
544,"RT @IPXakachi: AAAYY I had the amazing honour to draw for Hakka's KiLLiNG ME cover--!!<U+0001F34F> 

I love this song and I had so much fun drawing th…"
545,"RT @CompositeGuy_: First, what are grooming gangs?

Here is Ella's harrowing story

She was targeted as a teenager by a Pakistani gang. Soo…"
546,@YasMohammedxx these same muslim women and some so called feminists will shut their mouth up cause some fear of phobia and shame and honour killing for muslim women
547,"RT @newsclickin: A recent research report has revealed that over the last decade, most victims of honour killing were Scheduled Caste men w…"
548,"RT @AwaisKhanAuthor: 99p Alert: If you haven't read NO HONOUR yet, then you're in luck as the ebook is now for £0.99:
https://t.co/LXGsFr7l…"
549,"RT @Sbhanbhro: Not a single day goes by without declining of a civility with so-called honour killing in the country. 

Karo-kari is a nati…"
550,"RT @CompositeGuy_: First, what are grooming gangs?

Here is Ella's harrowing story

She was targeted as a teenager by a Pakistani gang. Soo…"
551,"@laksesmolt @MesseNoire17 @TheArtOfWar6 You’re an idiot, at least have some honour in killing an animal. Make sure it is dead if you’re gonna be picking it up and taking pictures. Pretty inhumane bro"
